id,fk_series_id,time_original,conc_original,conc_sd_original,conc_lower_bound_original,conc_upper_bound_original,no_conc_val_type,time_hr,conc,conc_sd,conc_lower_bound,conc_upper_bound
10974,23582,-0.24132321,0.70101112,,,,,-0.24132,0.70101,,,
10975,23582,-0.234273319,1.26540773,,,,,-0.23427,1.2654,,,
10976,23582,-0.223969631,1.594418154,,,,,-0.22396,1.59441,,,
10977,23582,-0.215835141,1.574077178,,,,,-0.21583,1.57407,,,
10978,23582,-0.20010846,1.615021985,,,,,-0.2001,1.61502,,,
10979,23582,-0.18329718,1.678444801,,,,,-0.18329,1.67844,,,
10980,23582,-0.165943601,1.789732416,,,,,-0.16594,1.78973,,,
10981,23582,-0.149132321,1.722104413,,,,,-0.14913,1.7221,,,
10982,23582,-0.13340564,1.635892069,,,,,-0.1334,1.63589,,,
10983,23582,-0.116052061,1.836286834,,,,,-0.11605,1.83628,,,
10984,23582,-0.10032538,1.789732416,,,,,-0.10032,1.78973,,,
10985,23582,-0.0829718,1.812860191,,,,,-0.08297,1.81286,,,
10986,23582,-0.066160521,1.836286834,,,,,-0.06616,1.83628,,,
10987,23582,-0.04989154,1.884052224,,,,,-0.04989,1.88405,,,
10988,23582,-0.03308026,1.836286834,,,,,-0.03308,1.83628,,,
10989,23582,-0.01626898,1.958040008,,,,,-0.01626,1.95804,,,
10990,23582,0.000542299000000024,1.884052224,,,,,0.00054,1.88405,,,
10991,23582,0.00867678999999999,0.563545995,,,,,0.00867,0.56354,,,
10992,23582,0.017895879,0.271072525,,,,,0.01789,0.27107,,,
10993,23582,0.03362256,0.130389204,,,,,0.03362,0.13038,,,
10994,23582,0.04989154,0.117660847,,,,,0.04989,0.11766,,,
10995,23582,0.06670282,0.058068488,,,,,0.0667,0.05806,,,
10996,23582,0.0829718,0.043220296,,,,,0.08297,0.04322,,,
