"ID","time","EV1","CENT","PERIPH","PERIPH2","EV2","CP"
1,0,0,0,0,0,0,0
1,0,0,100,0,0,0,5
1,0.2,0,95.1649857826642,1.91228360939934,1.94717734485949,0,4.75824928913321
1,0.4,0,90.6444647825649,3.65793433377603,3.79325304316042,0,4.53222323912824
1,0.6,0,86.416464475176,5.24943220476193,5.54468586827144,0,4.3208232237588
1,0.8,0,82.4605771628086,6.6983527637596,7.20748606018698,0,4.12302885814043
1,1,0,78.7578480464923,8.01543204608532,8.78724719767898,0,3.93789240232462
1,1.2,0,75.2906711462723,9.21062700341841,10.2891758392151,0,3.76453355731361
1,1.4,0,72.0426928194363,10.2931715100556,11.7181190039185,0,3.60213464097181
1,1.6,0,68.9987221599359,11.2716283696708,13.0785896962468,0,3.44993610799679
1,1.8,0,66.1446477821229,12.1539376114705,14.3747906155818,0,3.30723238910615
1,2,0,63.467360713147,12.9474612360138,15.6106361290577,0,3.17336803565735
1,2.2,0,60.9546825360979,13.6590249094935,16.7897727514126,0,3.0477341268049
1,2.4,0,58.5952989232483,14.294956525451,17.9155980922693,0,2.92976494616242
1,2.6,0,56.3786978143631,14.8611220670886,18.9912784825544,0,2.81893489071815
1,2.8,0,54.2951121455037,15.3629588251565,20.0197653069351,0,2.71475560727518
1,3,0,52.335466516904,15.8055063268956,21.0038102160181,0,2.6167733258452
1,3.2,0,50.4913277772386,16.193434989211,21.945979224763,0,2.52456638886193
1,3.4,0,48.7548591399805,16.5310727195027,22.8486658063194,0,2.43774295699903
1,3.6,0,47.1187775721802,16.8224296151196,23.7141030550812,0,2.35593887860901
1,3.8,0,45.5763142410428,17.0712208862057,24.5443749799533,0,2.27881571205214
1,4,0,44.1211778056179,17.2808881255873,25.3414269882753,0,2.2060588902809
1,4.2,0,42.7475203096415,17.4546190675269,26.1070756297342,0,2.13737601548207
1,4.4,0,41.4499054912528,17.5953659424743,26.843017652638,0,2.07249527456264
1,4.6,0,40.2232795305878,17.7058624155835,27.550838366598,0,2.01116397652939
1,4.8,0,39.0629436019234,17.7886394772177,28.2320194915807,0,1.95314718009617
1,5,0,37.964528725055,17.8460399977969,28.8879463527895,0,1.89822643625275
1,5.2,0,36.9239720762028,17.8802324352047,29.519914659976,0,1.84619860381014
1,5.4,0,35.9374953287489,17.893223363143,30.1291367091531,0,1.79687476643744
1,5.6,0,35.0015842260005,17.8868692842877,30.7167472334074,0,1.75007921130002
1,5.8,0,34.1129699198424,17.8628874178214,31.2838087511343,0,1.70564849599212
1,6,0,33.2686113634287,17.8228658752199,31.8313166139716,0,1.66343056817144
1,6.2,0,32.4656792152976,17.7682729583378,32.3602036244828,0,1.62328396076488
1,6.4,0,31.7015406682439,17.7004659208785,32.8713443903005,0,1.58507703341219
1,6.6,0,30.973745576235,17.6206989761973,33.3655593086728,0,1.54868727881175
1,6.8,0,30.2800133776119,17.5301308431532,33.8436183239988,0,1.51400066888059
1,7,0,29.6182211296427,17.4298316468073,34.3062443688383,0,1.48091105648213
1,7.2,0,28.9863922459564,17.3207894114458,34.7541166044742,0,1.44931961229782
1,7.4,0,28.3826861855288,17.2039160013298,35.1878733903794,0,1.41913430927644
1,7.6,0,27.8053886885797,17.0800527444203,35.6081150975782,0,1.39026943442898
1,7.8,0,27.2529029294183,16.9499755239202,36.0154066607661,0,1.36264514647092
1,8,0,26.7237411912988,16.8143995672389,36.410279981423,0,1.33618705956494
1,8.2,0,26.2165170653776,16.6739839311492,36.7932361813348,0,1.31082585326888
1,8.4,0,25.7299383943336,16.529335554887,37.164747643861,0,1.28649691971668
1,8.6,0,25.2628004790788,16.3810131611644,37.5252599798026,0,1.26314002395394
1,8.8,0,24.8139800290476,16.2295307257315,37.8751937813419,0,1.24069900145238
1,9,0,24.3824293281321,16.0753608224054,38.2149463140877,0,1.2191214664066
1,9.2,0,23.967170942423,15.9189376539318,38.5448930545472,0,1.19835854712115
1,9.4,0,23.5672927874625,15.7606598746443,38.8653891248417,0,1.17836463937312
1,9.6,0,23.1819434735326,15.6008932522807,39.1767706478248,0,1.15909717367663
1,9.8,0,22.8103281133996,15.4399730617262,39.479355970207,0,1.14051640566998
1,10,0,22.4517042738012,15.2782063959569,39.7734468442675,0,1.12258521369006
1,10.2,0,22.1053783685259,15.1158742210168,40.0593294835184,0,1.1052689184263
1,10.4,0,21.7707021958657,14.9532333478054,40.3372755767958,0,1.08853510979328
1,10.6,0,21.447069770612,14.7905182333624,40.6075432181086,0,1.0723534885306
1,10.8,0,21.1339143946581,14.6279426441571,40.8703777681529,0,1.05669571973291
1,11,0,20.8307058795459,14.4657012317485,41.1260126721279,0,1.04153529397729
1,11.2,0,20.5369480582899,14.3039709409737,41.3746701948313,0,1.0268474029145
1,11.4,0,20.2521763437329,14.1429123917616,41.6165621420358,0,1.01260881718664
1,11.6,0,19.9759555838987,13.9826710889659,41.8518904969632,0,0.998797779194934
1,11.8,0,19.7078780611472,13.8233785492593,42.0808480154095,0,0.98539390305736
1,12,0,19.4475615082863,13.6651534188107,42.3036188155817,0,0.972378075414315
1,12.2,0,19.1946474226772,13.5081024183774,42.5203788827696,0,0.95973237113386
1,12.4,0,18.948799397323,13.3523212791403,42.7312965687397,0,0.94743996986615
1,12.6,0,18.70970158082,13.1978956042441,42.9365330540559,0,0.935485079040998
1,12.8,0,18.4770573342599,13.0449016164577,43.1362427539753,0,0.923852866712995
1,13,0,18.2505878529502,12.8934069268669,43.3305737339205,0,0.91252939264751
1,13.2,0,18.03003097176,12.7434711974153,43.519668072328,0,0.901501548588
1,13.4,0,17.8151400605352,12.59514675166,43.7036621974787,0,0.89075700302676
1,13.6,0,17.605682922747,12.448479184201,43.8826872230055,0,0.880284146137351
1,13.8,0,17.4014408560947,12.3035078765331,44.0568692369544,0,0.870072042804735
1,14,0,17.2022077291955,12.1602665040799,44.2263295858834,0,0.860110386459776
1,14.2,0,17.0077891207221,12.0187835074602,44.3911851408229,0,0.850389456036106
1,14.4,0,16.8180015752158,11.8790824964666,44.5515485296816,0,0.84090007876079
1,14.6,0,16.6326718382172,11.7411826665674,44.7075283751654,0,0.831633591910861
1,14.8,0,16.4516361856658,11.6050991611281,44.8592295055248,0,0.822581809283288
1,15,0,16.2747398095472,11.4708434014351,45.0067531489488,0,0.813736990477362
1,15.2,0,16.1018362043009,11.3384234167544,45.1501971273965,0,0.805091810215043
1,15.4,0,15.9327866428203,11.2078441228063,45.2896560245997,0,0.796639332141014
1,15.6,0,15.7674596640106,11.0791075939863,45.4252213504427,0,0.78837298320053
1,15.8,0,15.6057305886931,10.9522133195676,45.5569816969482,0,0.780286529434656
1,16,0,15.4474811026392,10.8271584213532,45.6850228748398,0,0.772374055131959
1,16.2,0,15.2925988317597,10.7039378763173,45.8094280520197,0,0.764629941587986
1,16.4,0,15.1409769639737,10.5825447125628,45.9302778784502,0,0.757048848198683
1,16.6,0,14.9925139064108,10.462970185176,46.0476506006728,0,0.749625695320539
1,16.8,0,14.8471129407917,10.3452039535493,46.1616221765479,0,0.742355647039585
1,17,0,14.7046819284717,10.2292342302687,46.2722663755607,0,0.735234096423584
1,17.2,0,14.5651330250084,10.1150479248666,46.3796548761276,0,0.728256651250422
1,17.4,0,14.4283824061476,10.0026307813353,46.483857359366,0,0.721419120307379
1,17.6,0,14.294350031861,9.89196749393013,46.5849415917507,0,0.714717501593051
1,17.8,0,14.1629594087179,9.7830418243148,46.6829735079704,0,0.708147970435896
1,18,0,14.0341373750896,9.67583670582073,46.7780172870127,0,0.70170686875448
1,18.2,0,13.9078139086657,9.57033433511912,46.8701354216273,0,0.695390695433286
1,18.4,0,13.7839219311139,9.46651626590453,46.9593887883464,0,0.689196096555693
1,18.6,0,13.6623971398887,9.36436348717275,47.045836709512,0,0.683119856994436
1,18.8,0,13.5431778475788,9.263856497467,47.1295370129073,0,0.67715889237894
1,19,0,13.4262048255773,9.16497537695147,47.210546089908,0,0.671310241278864
1,19.2,0,13.3114211692426,9.06769984734973,47.2889189472675,0,0.66557105846213
1,19.4,0,13.1987721632206,8.97200933211171,47.3647092586188,0,0.659938608161031
1,19.6,0,13.0882051580155,8.87788301037535,47.4379694125369,0,0.654410257900776
1,19.8,0,12.979669460332,8.78529986325565,47.5087505564439,0,0.648983473016602
1,20,0,12.8731162212035,8.69423872172306,47.5771026409224,0,0.643655811060173
1,20.2,0,12.7684983385536,8.60467830641653,47.6430744596901,0,0.638424916927681
1,20.4,0,12.6657703652754,8.51659726455451,47.7067136877829,0,0.633288518263768
1,20.6,0,12.5648884187931,8.42997420627472,47.7680669191043,0,0.628244420939657
1,20.8,0,12.4658101030636,8.3447877340564,47.8271797002109,0,0.62329050515318
1,21,0,12.3684944305139,8.26101647245138,47.8840965639169,0,0.618424721525696
1,21.2,0,12.2729017505738,8.17863909427827,47.9388610608082,0,0.613645087528691
1,21.4,0,12.1789936860434,8.09763434254445,47.9915157883233,0,0.608949684302168
1,21.6,0,12.0867330656167,8.01798105485964,48.0421024207388,0,0.604336653280835
1,21.8,0,11.9960838656496,7.93965818275818,48.0906617363222,0,0.599804193282481
1,22,0,11.9070111631666,7.86264480475914,48.1372336410915,0,0.595350558158331
1,22.2,0,11.8194810774162,7.7869201463498,48.1818571956356,0,0.590974053870811
1,22.4,0,11.7334607228275,7.71246359359942,48.2245706385059,0,0.586673036141374
1,22.6,0,11.6489181631898,7.6392547061879,48.2654114091684,0,0.582445908159489
1,22.8,0,11.5658223722459,7.56727322719129,48.3044161687792,0,0.578291118612295
1,23,0,11.4841431956459,7.49649909223108,48.3416208204594,0,0.574207159782294
1,23.2,0,11.4038513028146,7.42691244444607,48.3770605324679,0,0.570192565140729
1,23.4,0,11.3249181596937,7.35849363797385,48.41076975497,0,0.566245907984683
1,23.6,0,11.2473159996377,7.29122324265166,48.4427822372243,0,0.562365799981886
1,23.8,0,11.1710177819665,7.22508205577671,48.4731310483627,0,0.558550889098327
1,24,0,11.095997167169,7.16005110477098,48.501848593011,0,0.55479985835845
1,24.2,0,11.02222849473,7.09611164856318,48.5289666259884,0,0.551111424736502
1,24.4,0,10.9496867486399,7.03324518598329,48.5545162706144,0,0.547484337431993
1,24.6,0,10.8783475340794,6.97143345812888,48.5785280334983,0,0.543917376703969
1,24.8,0,10.8081870605223,6.9106584473463,48.6010318172528,0,0.540409353026115
1,25,0,10.7391821135757,6.85090238259653,48.6220569365265,0,0.536959105678787
1,25.2,0,10.6713100329497,6.79214774160524,48.6416321320415,0,0.533565501647484
1,25.4,0,10.6045486991844,6.73437724836381,48.6597855818184,0,0.530227434959218
1,25.6,0,10.5388765106673,6.67757387609154,48.6765449152962,0,0.526943825533366
1,25.8,0,10.4742723637366,6.62172084865907,48.6919372263882,0,0.523713618186832
1,26,0,10.4107156425135,6.56680163690733,48.7059890833701,0,0.520535782125675
1,26.2,0,10.3481862008931,6.512799959343,48.7187265411305,0,0.517409310044653
1,26.4,0,10.2866643400975,6.45969978535773,48.7301751547226,0,0.514333217004877
1,26.6,0,10.2261308024522,6.40748532987443,48.7403599876798,0,0.511306540122608
1,26.8,0,10.1665667572854,6.35614105236807,48.7493056227182,0,0.508328337864271
1,27,0,10.1079537834827,6.30565165776287,48.757036173441,0,0.505397689174135
