ID,time,EV1,CENT,PERIPH,PERIPH2,EV2,CP
1,0,0,100,0,0,0,5
1,0.5,0,88.49521035,4.472208487,4.680414046,0,4.424760518
1,1,0,78.75784805,8.015432046,8.787247198,0,3.937892402
1,1.5,0,70.49611286,10.79490059,12.40664373,0,3.524805643
1,2,0,63.46736071,12.94746124,15.61063613,0,3.173368036
1,2.5,0,57.46977781,14.58641055,18.45951709,0,2.873488891
1,3,0,52.33546652,15.80550633,21.00381022,0,2.616773326
1,3.5,0,47.92470463,16.68229742,23.28590698,0,2.396235232
1,4,0,44.12117781,17.28088813,25.34142699,0,2.20605889
1,4.5,0,40.8280206,17.65423272,27.20034822,0,2.04140103
1,5,0,37.96452873,17.84604,28.88794635,0,1.898226436
1,5.5,0,35.46342891,17.89235398,30.42557537,0,1.773171446
1,6,0,33.26861136,17.82286588,31.83131661,0,1.663430568
1,6.5,0,31.33324655,17.66200286,33.12051832,0,1.566662328
1,7,0,29.61822113,17.42983165,34.30624437,0,1.480911056
1,7.5,0,28.09083883,17.14280813,35.39964752,0,1.404541941
1,8,0,26.72374119,16.81439957,36.41027998,0,1.33618706
1,8.5,0,25.49401139,16.45560048,37.34635185,0,1.274700569
1,9,0,24.38242933,16.07536082,38.21494631,0,1.219121466
1,9.5,0,23.37285298,15.68094103,39.02219891,0,1.168642649
1,10,0,22.45170427,15.2782064,39.77344684,0,1.122585214
1,10.5,0,21.60754182,14.87187125,40.47335358,0,1.080377091
1,11,0,20.83070588,14.46570123,41.12601267,0,1.041535294
1,11.5,0,20.11302319,14.06268105,41.73503451,0,1.00565116
1,12,0,19.44756151,13.66515342,42.30361882,0,0.972378075
1,12.5,0,18.82842569,13.27493403,42.83461516,0,0.941421284
1,13,0,18.25058785,12.89340693,43.33057373,0,0.912529393
1,13.5,0,17.70974625,12.52160326,43.79378785,0,0.885487312
1,14,0,17.20220773,12.1602665,44.22632959,0,0.860110386
1,14.5,0,16.72478993,11.8099064,44.63007976,0,0.836239496
1,15,0,16.27473981,11.4708434,45.00675315,0,0.81373699
1,15.5,0,15.84966578,11.14324549,45.35791978,0,0.792483289
1,16,0,15.4474811,10.82715842,45.68502287,0,0.772374055
1,16.5,0,15.06635674,10.52253073,45.98939408,0,0.753317837
1,17,0,14.70468193,10.22923423,46.27226638,0,0.735234096
1,17.5,0,14.3610313,9.9470809,46.53478509,0,0.718051565
1,18,0,14.03413738,9.675836706,46.77801729,0,0.701706869
1,18.5,0,13.72286755,9.415232924,47.00295978,0,0.686143378
1,19,0,13.42620483,9.164975377,47.21054609,0,0.671310241
1,19.5,0,13.14323162,8.924751957,47.40165238,0,0.657161581
1,20,0,12.87311622,8.694238722,47.57710264,0,0.643655811
1,20.5,0,12.61510132,8.473104825,47.73767318,0,0.630755066
1,21,0,12.36849443,8.261016472,47.88409656,0,0.618424722
1,21.5,0,12.13265972,8.057640084,48.01706505,0,0.606632986
1,22,0,11.90701116,7.862644805,48.13723364,0,0.595350558
1,22.5,0,11.69100668,7.675704462,48.2452228,0,0.584550334
1,23,0,11.4841432,7.496499092,48.34162082,0,0.57420716
1,23.5,0,11.28595241,7.324716095,48.42698601,0,0.564297621
1,24,0,11.09599717,7.160051105,48.50184859,0,0.554799858
1,24.5,0,10.91386833,7.002208612,48.5667125,0,0.545693416
1,25,0,10.73918211,6.850902383,48.62205694,0,0.536959106
1,25.5,0,10.57157779,6.705855726,48.66833781,0,0.52857889
1,26,0,10.41071564,6.566801637,48.70598908,0,0.520535782
1,26.5,0,10.25627522,6.43348282,48.735424,0,0.512813761
1,27,0,10.10795378,6.305651658,48.75703617,0,0.505397689
1,27.5,0,9.965464973,6.183070093,48.77120068,0,0.498273249
1,28,0,9.828537586,6.065509466,48.77827497,0,0.491426879
1,28.5,0,9.696914516,5.952750317,48.77859983,0,0.484845726
1,29,0,9.570351796,5.844582163,48.77250017,0,0.47851759
1,29.5,0,9.448617741,5.740803238,48.76028586,0,0.472430887
1,30,0,9.331492178,5.641220237,48.74225243,0,0.466574609
1,30.5,0,9.218765737,5.545648038,48.7186818,0,0.460938287
1,31,0,9.110239219,5.45390942,48.68984292,0,0.455511961
1,31.5,0,9.005723016,5.365834785,48.6559924,0,0.450286151
1,32,0,8.905036549,5.281261873,48.61737508,0,0.445251827
1,32.5,0,8.808007806,5.200035481,48.57422461,0,0.44040039
1,33,0,8.714472862,5.12200719,48.52676395,0,0.435723643
1,33.5,0,8.624275467,5.047035089,48.47520589,0,0.431213773
1,34,0,8.537266652,4.974983518,48.41975349,0,0.426863333
1,34.5,0,8.453304344,4.905722804,48.36060058,0,0.422665217
1,35,0,8.372253035,4.839129017,48.29793214,0,0.418612652
1,35.5,0,8.293983468,4.775083729,48.23192471,0,0.414699173
1,36,0,8.218372277,4.713473761,48.16274684,0,0.410918614
1,36.5,0,8.145301783,4.654190991,48.09055935,0,0.407265089
1,37,0,8.074659655,4.597132101,48.0155158,0,0.403732983
