ID,Time,CentralConc,PeripheralConc
1,0,0,0
1,1,25.52655415,4.609860882
1,4,14.16829524,15.76584853
1,8,7.498147488,15.76767982
1,12,3.332322324,6.727251859
1,18,0.968461726,2.196091016
1,24,0.371913934,0.827609897
1,36,0.04904593,0.092296689
2,0,0,0
2,1,20.38645495,0.628978447
2,4,9.641369028,3.680194963
2,8,1.819800878,3.362996482
2,12,0.982603055,3.063313287
2,18,0.600970506,2.134272701
2,24,0.568709125,1.960979996
2,36,0.372941036,0.963511774
3,0,0,0
3,1,18.4580779,1.168330663
3,4,4.939787943,6.041532632
3,8,2.17475911,5.059765496
3,12,1.373485154,3.396898509
3,18,0.803808914,2.43170314
3,24,0.648300916,1.573158037
3,36,0.203249053,0.73110713
