Time,Concentration
-5.1485,8.53322
-4.225,13.32773
-2.24224,16.43392
-1.21871,18.51825
-0.18156,25.07398
0.05452,21.21509
0.73414,15.26219
1.86117,17.18911
3.87705,10.84689
5.88894,8.57388
7.80444,4.27055
11.85687,2.24657
17.99116,1.37275
